sample_id	faith_pd	pielou_e	shannon	observed_otus
1	2.554739788	0.8346805790847156	4.348229551937993	37
2	15.651752905	0.940666391059568	7.493145555012107	250
3	9.800668828	0.9047703454168688	6.302435053333112	125
4	9.107694917	0.9459884460867278	6.684438733191372	134
5	8.414548287999999	0.8534405821303699	5.787487581545925	110
6	10.013697562	0.9275249096579992	6.406313075709477	120
7	10.669301342	0.9276315475552068	6.766720334122662	157
8	9.862070416	0.6851806106343596	4.185442517370186	69
9	3.4030090699999995	0.7703085302173249	4.4122659865563305	53
10	5.109631698	0.8794515375531206	5.695093722647543	89
11	5.208813071	0.7729224467614022	4.992639691365105	88
12	4.425462239	0.8828034450965415	5.410952163330741	70
13	11.419430065999999	0.9182688721075772	7.0388393669993325	203
14	4.696742716999999	0.7478714837930169	4.830824709089805	88
15	3.368293423	0.835737496676648	5.268305942079978	79
16	11.621918275	0.9295858539009328	6.986488251834374	183
17	13.836544349	0.9103080642501656	6.984270661153986	204
18	7.519160564	0.8668607675072113	5.8784946860084695	110
19	10.061898897999999	0.9354645701264294	6.697805962219938	143
20	10.027381443	0.9406688109578148	6.953722440308035	168
22	7.098060166999999	0.8368574991153109	5.002131528292297	63
23	12.357687962	0.9290349584449052	6.930072743843312	176
24	9.922872379	0.9312857938839572	6.648962749193991	141
25	2.730564391	0.8285098149459033	5.095125847944926	71
26	8.714936566	0.8934299596447378	6.33215164024187	136
27	12.212890539000002	0.9178711694860991	7.1241041067500905	217
28	9.813782562	0.9288112436552164	6.6024774412536535	138
29	11.535034343	0.726097022282451	4.4944131806535665	73
30	7.140316087	0.9122848419052916	6.354779414879316	125
31	15.199652144999998	0.9332838287086336	7.2123431897905075	212
32	5.757296969999999	0.8573760868061671	6.197816281088637	150
33	18.26435445	0.9299365399114848	7.254341861127738	223
34	11.529327473	0.9352381158748478	7.283543316262147	221
35	8.951630391999998	0.913559850191224	6.721564107113037	164
36	8.356125596	0.9275432395882038	6.641090254750152	143
37	9.516187743	0.8781600329131478	6.429824616793987	160
38	12.628522025999999	0.9298515616517972	7.003066812456487	185
39	2.173073221	0.956843454984224	5.372398365977129	49
40	10.759013883	0.9246945395295724	6.5924090765299255	140
41	12.622157841	0.9357457209778692	6.909269696648519	167
42	6.638624741999999	0.9215066276104209	6.296553433785873	114
43	4.03044559	0.866456780716609	5.5968183255435475	88
